104.127.61.74;not resolved;sb.scorecardresearch.com;AD
104.127.61.90;not resolved;sb.voicefive.com;AD
151.101.114.133;not resolved;identity.mparticle.com;AD
151.101.130.110;not resolved;mobile-collector.newrelic.com;AD
151.101.130.133;not resolved;config2.mparticle.com;AD
151.101.130.202;not resolved;sdk.foursquare.com;
151.101.194.110;not resolved;mobile-collector.newrelic.com;AD
151.101.194.133;not resolved;config2.mparticle.com;AD
151.101.194.202;not resolved;sdk.foursquare.com;
151.101.2.110;not resolved;mobile-collector.newrelic.com;AD
151.101.2.133;not resolved;config2.mparticle.com;AD
151.101.2.202;not resolved;sdk.foursquare.com;
151.101.66.110;not resolved;mobile-collector.newrelic.com;AD
151.101.66.133;not resolved;config2.mparticle.com;AD
151.101.66.202;not resolved;sdk.foursquare.com;
172.217.23.194;not resolved;googleads.g.doubleclick.net;AD
172.217.23.202;not resolved;android.googleapis.com;
172.217.23.206;not resolved;android.clients.google.com;
172.217.23.232;not resolved;ssl.google-analytics.com;AD
172.217.23.234;not resolved;android.googleapis.com;
172.217.23.238;not resolved;android.clients.google.com;
18.200.151.201;not resolved;t.appsflyer.com;AD
18.200.215.201;not resolved;t.appsflyer.com;AD
184.51.10.56;not resolved;z.moatads.com;AD
184.51.9.204;not resolved;api.accuweather.com;
185.33.223.197;not resolved;ib.adnxs.com;AD
185.33.223.202;not resolved;ib.adnxs.com;AD
185.33.223.204;not resolved;ib.adnxs.com;AD
185.33.223.206;not resolved;ib.adnxs.com;AD
185.33.223.208;not resolved;ib.adnxs.com;AD
185.33.223.216;not resolved;ib.adnxs.com;AD
185.33.223.221;not resolved;ib.adnxs.com;AD
185.33.223.83;not resolved;ib.adnxs.com;AD
212.82.100.172;not resolved;ads.yahoo.com;AD
212.82.100.180;not resolved;ads.yahoo.com;AD
216.58.201.106;not resolved;android.googleapis.com;
216.58.201.110;not resolved;android.clients.google.com;
216.58.201.67;not resolved;www.gstatic.com;
216.58.201.70;not resolved;s0.2mdn.net;AD
216.58.201.74;not resolved;android.googleapis.com;
216.58.201.78;not resolved;android.clients.google.com;
216.58.201.97;not resolved;tpc.googlesyndication.com;AD
216.58.201.98;not resolved;cm.g.doubleclick.net;AD
23.38.81.66;not resolved;vortex.accuweather.com;
2600:1f18:64e7:c303:9834:f4a6:b9e6:9a2b;not resolved;nativesdks.mparticle.com;AD
2600:1f18:64e7:c303:9d97:ba03:cb57:fac1;not resolved;nativesdks.mparticle.com;AD
2600:1f18:64e7:c304:2731:4842:e38f:6741;not resolved;nativesdks.mparticle.com;AD
2600:1f18:64e7:c304:415d:69df:7704:40fe;not resolved;nativesdks.mparticle.com;AD
2600:1f18:64e7:c304:6792:4dad:34ad:659;not resolved;nativesdks.mparticle.com;AD
